trade_date,ts_code,open,high,low,close,pre_close,volume,amount,pct_chg,adj_factor
2026-06-01,300308.SZ,100.00,103.00,99.50,102.00,99.00,1200000,122400000,3.03,1.0
2026-06-01,600030.SH,20.00,20.30,19.80,20.20,19.90,5000000,101000000,1.51,1.0
2026-06-02,300308.SZ,102.00,105.20,101.50,104.80,102.00,1500000,157200000,2.75,1.0
2026-06-02,600030.SH,20.20,20.35,19.90,20.05,20.20,4700000,94235000,-0.74,1.0
2026-06-03,300308.SZ,104.50,106.00,103.20,105.70,104.80,1320000,139524000,0.86,1.0
2026-06-03,600030.SH,20.05,20.55,20.00,20.50,20.05,5200000,106600000,2.24,1.0
2026-06-04,300308.SZ,106.00,109.50,105.70,109.00,105.70,1800000,196200000,3.12,1.0
2026-06-04,600030.SH,20.50,20.80,20.30,20.70,20.50,5100000,105570000,0.98,1.0
2026-06-05,300308.SZ,109.20,110.00,106.80,107.20,109.00,1600000,171520000,-1.65,1.0
2026-06-05,600030.SH,20.75,20.90,20.20,20.35,20.70,5400000,109890000,-1.69,1.0
2026-06-08,300308.SZ,107.00,108.10,103.50,104.00,107.20,1700000,176800000,-2.99,1.0
2026-06-08,600030.SH,20.30,20.45,19.80,19.90,20.35,5500000,109450000,-2.21,1.0

