ts_code,name,sector,enabled,notes
600030.SH,中信证券,非银金融,1,券商龙头
000001.SZ,平安银行,银行,1,银行样本
600036.SH,招商银行,银行,1,银行龙头
300750.SZ,宁德时代,电力设备,1,新能源龙头
300308.SZ,中际旭创,通信,1,算力光模块
601138.SH,工业富联,电子,1,AI服务器链
002475.SZ,立讯精密,电子,1,消费电子龙头
688981.SH,中芯国际,半导体,1,半导体制造
000858.SZ,五粮液,食品饮料,1,消费样本
600519.SH,贵州茅台,食品饮料,1,消费龙头
601318.SH,中国平安,保险,1,保险龙头
600887.SH,伊利股份,食品饮料,1,消费样本
601899.SH,紫金矿业,有色金属,1,资源品龙头
002594.SZ,比亚迪,汽车,1,新能源车龙头
300059.SZ,东方财富,非银金融,1,互联网券商
000333.SZ,美的集团,家电,1,家电龙头
600276.SH,恒瑞医药,医药生物,1,创新药龙头
300760.SZ,迈瑞医疗,医药生物,1,医疗器械龙头
000651.SZ,格力电器,家电,1,家电样本
601888.SH,中国中免,社会服务,1,免税龙头
600406.SH,国电南瑞,电力设备,1,电网设备龙头
601012.SH,隆基绿能,电力设备,1,光伏样本
002415.SZ,海康威视,计算机,1,安防龙头
603259.SH,药明康德,医药生物,1,CXO样本
600309.SH,万华化学,基础化工,1,化工龙头
601668.SH,中国建筑,建筑装饰,1,中字头权重
601857.SH,中国石油,石油石化,1,能源权重
601988.SH,中国银行,银行,1,国有大行
601398.SH,工商银行,银行,1,国有大行
601288.SH,农业银行,银行,1,国有大行
600900.SH,长江电力,公用事业,1,水电龙头
600585.SH,海螺水泥,建筑材料,1,建材龙头
600031.SH,三一重工,机械设备,1,工程机械龙头
000725.SZ,京东方A,电子,1,面板龙头
002371.SZ,北方华创,电子,1,半导体设备
000063.SZ,中兴通讯,通信,1,通信设备龙头
600050.SH,中国联通,通信,1,运营商样本
600690.SH,海尔智家,家电,1,家电龙头
600104.SH,上汽集团,汽车,1,整车样本
601166.SH,兴业银行,银行,1,股份行样本
002142.SZ,宁波银行,银行,1,城商行样本
300124.SZ,汇川技术,机械设备,1,工控龙头
300274.SZ,阳光电源,电力设备,1,逆变器龙头
688111.SH,金山办公,计算机,1,软件龙头
300014.SZ,亿纬锂能,电力设备,1,锂电样本
600438.SH,通威股份,电力设备,1,光伏硅料
000568.SZ,泸州老窖,食品饮料,1,白酒样本
600809.SH,山西汾酒,食品饮料,1,白酒样本
600436.SH,片仔癀,医药生物,1,中药样本
000538.SZ,云南白药,医药生物,1,中药样本
002304.SZ,洋河股份,食品饮料,1,白酒样本
601919.SH,中远海控,交通运输,1,航运样本
601225.SH,陕西煤业,煤炭,1,煤炭龙头
600150.SH,中国船舶,国防军工,1,船舶龙头
600660.SH,福耀玻璃,汽车,1,汽车零部件
002241.SZ,歌尔股份,电子,1,消费电子样本
600111.SH,北方稀土,有色金属,1,稀土龙头
000977.SZ,浪潮信息,计算机,1,服务器样本
002230.SZ,科大讯飞,计算机,1,AI应用样本
603501.SH,韦尔股份,电子,1,半导体设计
